City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,la'ie,21.6477,-157.9253,299.13,79,20,1.79,US,1706499740
84,trenton,40.217,-74.7429,277.1,93,100,3.6,US,1706499691
85,jamestown,42.097,-79.2353,273.92,99,100,5.66,US,1706499539
86,guantanamo,20.1444,-75.2092,296.91,91,0,0.94,CU,1706499740
87,great torrington,50.9531,-4.144,285.3,95,100,4.94,GB,1706499740
88,jobner,26.9667,75.3833,285.83,31,9,0.21,IN,1706499741
89,tura,25.5198,90.2201,293.8,39,0,1.0,IN,1706499741
90,harper,4.375,-7.7169,299.07,85,13,1.5,LR,1706499741
91,dolores,-36.3132,-57.6792,291.33,86,22,3.48,AR,1706499741
92,kenai,60.5544,-151.2583,257.64,79,100,1.54,US,1706499742
93,margaret river,-33.95,115.0667,294.66,50,0,6.39,AU,1706499192
94,gebeit,21.0667,36.3167,285.6,73,100,1.56,SD,1706499742
95,mount gambier,-37.8333,140.7667,297.82,44,0,4.47,AU,1706499743
96,bredasdorp,-34.5322,20.0403,291.47,81,100,1.69,ZA,1706499743
97,qarauyl,48.9451,79.255,260.02,92,100,2.49,KZ,1706499743
98,udachny,66.4167,112.4,253.95,83,98,1.77,RU,1706499219
99,gadzhiyevo,69.2551,33.3362,275.23,87,100,11.47,RU,1706499719
100,benguela,-12.5763,13.4055,298.97,83,39,1.23,AO,1706499743
101,ghat,24.9647,10.1728,283.15,59,0,1.68,LY,1706499744
102,qaqortoq,60.7167,-46.0333,246.15,68,2,2.27,GL,1706499193
103,west plains,36.7281,-91.8524,274.87,84,0,0.89,US,1706499744
104,kingston,17.997,-76.7936,299.68,82,75,3.09,JM,1706499506
105,noumea,-22.2763,166.4572,304.14,99,95,3.84,NC,1706499707
106,berdigestyakh,62.0989,126.6992,240.49,95,100,1.82,RU,1706499745
107,howrah,22.5892,88.3103,293.76,68,20,1.54,IN,1706499745
108,zeya,53.75,127.2667,253.42,87,100,1.02,RU,1706499745
109,consolacion del sur,22.5047,-83.5136,295.03,82,48,5.02,CU,1706499745
110,lerwick,60.1545,-1.1494,280.15,66,86,10.95,GB,1706499701
111,albany,42.6001,-73.9662,274.06,85,100,3.18,US,1706499189
112,port mathurin,-19.6833,63.4167,301.2,89,40,3.09,MU,1706499653
113,sisimiut,66.9395,-53.6735,249.82,97,99,3.58,GL,1706499746
114,kilinochchi,9.3961,80.3982,298.96,72,100,4.45,LK,1706499746
115,tonj,7.2737,28.6822,295.6,25,100,2.12,SS,1706499746
116,palangkaraya,-2.2,113.8333,305.23,59,100,0.53,ID,1706499747
117,kristiansund,63.1115,7.732,279.51,81,100,11.83,NO,1706499747
118,colonia,50.9333,6.95,282.27,59,0,4.12,DE,1706498987
119,yellowknife,62.456,-114.3525,257.44,85,100,1.54,CA,1706499062
120,hell-ville,-13.4,48.2667,296.08,78,20,0.0,MG,1706499747
121,san pedro pochutla,15.7333,-96.4667,296.95,68,45,1.25,MX,1706499747
122,hithadhoo,-0.6,73.0833,300.79,71,38,5.36,MV,1706499748
123,ancud,-41.8697,-73.8203,283.35,83,0,1.89,CL,1706499257
124,les cayes,18.2,-73.75,295.84,84,1,1.65,HT,1706499748
125,margate,51.3813,1.3862,281.87,91,99,0.89,GB,1706499042
126,fray luis beltran,-39.3167,-65.7667,300.27,45,97,2.71,AR,1706499748
127,lucheng,31.2336,117.2806,281.97,48,91,1.81,CN,1706499748
128,ouesso,1.6136,16.0517,293.26,42,60,1.07,CG,1706499748
129,touros,-5.1989,-35.4608,299.99,77,44,4.81,BR,1706499647
